create table imdb (
	id INT,
	name VARCHAR(50),
	birth DATE,
	gender VARCHAR(50),
	country VARCHAR(50)
);
insert into imdb (id, name, birth, gender, country) values (1, 'Tucker Hehir', '1707-02-07', 'M', 'Portugal');
insert into imdb (id, name, birth, gender, country) values (82, 'Anastassia Medway', '1845-06-09', 'F', 'Kazakhstan');
insert into imdb (id, name, birth, gender, country) values (83, 'Rici Blanchet', '1762-11-15', 'F', 'Thailand');
insert into imdb (id, name, birth, gender, country) values (84, 'Jamie Sciacovelli', '1567-09-19', 'M', 'China');
insert into imdb (id, name, birth, gender, country) values (85, 'Rollie Markova', '1504-12-02', 'M', 'China');
insert into imdb (id, name, birth, gender, country) values (86, 'Kendell Blow', '1790-05-22', 'F', 'Russia');
insert into imdb (id, name, birth, gender, country) values (87, 'Adams Keemer', '1970-03-09', 'F', 'Bulgaria');
insert into imdb (id, name, birth, gender, country) values (88, 'Norris Belsey', '1648-06-18', 'M', 'Indonesia');
insert into imdb (id, name, birth, gender, country) values (89, 'Lizbeth Skilling', '1684-03-28', 'M', 'Russia');
insert into imdb (id, name, birth, gender, country) values (90, 'Dyanne Yurkevich', '1809-05-07', 'F', 'Afghanistan');
insert into imdb (id, name, birth, gender, country) values (91, 'Irene Flasby', '1943-01-14', 'M', 'Palestinian Territory');
insert into imdb (id, name, birth, gender, country) values (92, 'Alicea Heppner', '1519-07-29', 'F', 'Guatemala');
insert into imdb (id, name, birth, gender, country) values (93, 'Lyndsie Schoffler', '1560-04-16', 'F', 'Indonesia');
insert into imdb (id, name, birth, gender, country) values (94, 'Fara Cawthry', '1783-11-22', 'M', 'Netherlands');
insert into imdb (id, name, birth, gender, country) values (95, 'Britni Clerc', '1542-09-04', 'M', 'Indonesia');
insert into imdb (id, name, birth, gender, country) values (96, 'Shayne Woolvin', '1533-01-22', 'M', 'Japan');
insert into imdb (id, name, birth, gender, country) values (97, 'Ruby Dell Casa', '1581-12-02', 'M', 'Indonesia');
insert into imdb (id, name, birth, gender, country) values (98, 'Kristo Feaveer', '1793-09-27', 'F', 'Panama');
insert into imdb (id, name, birth, gender, country) values (99, 'Hayyim Syfax', '1815-08-13', 'M', 'Sweden');
insert into imdb (id, name, birth, gender, country) values (100, 'Tatiania Mulvey', '1801-06-28', 'F', 'Argentina');
